,breed,summary,image,other_names,nicknames,origin,weight,height,coat,color,lifespan
516,Toy Bulldog,"The Toy Bulldog is an extinct dog breed that existed in England during the 18th and early 19th centuries. Breeders were working in two different directions to create this breed. One was to downsize the Bulldog. This was not very successful, due to complications with breeding subregular-sized dogs of this breed together. The dwarf-sized Bulldog puppies were (and still are) occasionally born out of regular-sized parents, but they were neither the healthiest, nor the most fertile dogs. They often produced regular-sized puppies. Thus, this version of the breed had never been established. 
Another attempt at creating the Toy Bulldog was via crossbreeding  French Bulldogs with Bulldogs and/or their offspring to decrease the weight to a desirable 20 pounds or so. There were several dogs, and the breed was presented by ""The French Toy Bulldog Club of England"" to the Kennel Club. However, this version of the breed had also not been developed to the point of recognition as well. English breeders and Kennel Club representatives refused to call a mixed-breed dog a Bulldog.Nowadays, the term ""Toy Bulldog"" is occasionally used to describe a small variety of another cross known as a ""Miniature Bulldog"".  This is not an established breed, but a hybrid, resulting from crossbreeding Bulldogs with Pugs and/or their offspring.",https://upload.wikimedia.org/wikipedia/commons/6/62/Toy_Bulldog_Little_Knot_1903.jpg,Miniature Bulldog<br/>English Toy Bulldog,,,,,,,
517,Toy Fox Terrier,"The Toy Fox Terrier is a small terrier breed of dog, directly descended from the larger Fox Terrier but considered a separate breed.",https://upload.wikimedia.org/wikipedia/commons/2/24/Toy_Fox_Terrier_2.jpg,American Toy Terrier<br>Amertoy,,[[United States]],,,,,
518,Toy Manchester Terrier,"The Toy Manchester Terrier is a breed of dog, categorized as a terrier. The breed was bred down in size in North America from the Manchester Terrier, and is placed in the Toy Group by the American Kennel Club and the Canadian Kennel Club (the Manchester Terrier is placed in the Terrier Group). Neither the Fédération Cynologique Internationale nor The Kennel Club recognize a Toy variety of the Manchester Terrier.

",https://upload.wikimedia.org/wikipedia/commons/a/ab/Toy-manchester-terrier-weave.png,Toy Manchester Terrier,,"[[England]], [[United Kingdom]]",,,,,
519,Toy Trawler Spaniel,"The Toy Trawler Spaniel is an extinct breed of Spaniel which physically was similar to the King Charles Spaniel of the 16th century. It is considered to have descended from the original King Charles Spaniel, and the older variety of the Sussex Spaniel. It was originally used as a sporting dog, but became used as a toy and show dog. It was considered to be on the verge of extinction by 1920. A preserved specimen is kept in Tring at the Natural History Museum.",https://upload.wikimedia.org/wikipedia/commons/a/af/Trawler_spaniel_goblin.jpg,Miniature Trawler Spaniel,,United Kingdom,,,,,
520,Transylvanian Hound,"The Transylvanian Hound (Hungarian: erdélyi kopó, also known as the Transylvanian Scent Hound or Hungarian Hound) is a dog breed from Hungary, historically primarily used for hunting. It is a strong, medium-sized scent hound, characterized by a black body, with tan and sometimes white markings on the muzzle, chest and extremities, and distinctive tan eyebrow spots. It has a high-pitched bark for a dog of its size. The breed was rescued from extinction by focused breeding efforts in the late 20th century. There were formerly two varieties, the tall and the short, developed for different kinds of hunting in the Middle Ages. Only the tall variety survives today.

",https://upload.wikimedia.org/wikipedia/commons/d/d8/Erdelyi_kopo_VadaszNimrodSzeder01.jpg,,,[[Hungary]],,,,,
521,Treeing Cur,"The Treeing Cur is a breed of dog that originated in the mid-west and was first recognized by United Kennel Club on November 1, 1998, due to the efforts of Alex and Ray Kovac. ""Most Cur breeders were not well off and so they required a dog that could serve multiple purposes: hunter, guardian, and stock dog. The result was the Treeing Cur, which is the most varied in size and colors of the Cur breeds"", according to United Kennel Club.They are primarily used to tree squirrels, raccoons, opossum, wild boar, bears, mountain lion, bobcat as well as to hunt big game.",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,,,[[United States]],{{convert|30|-|60|lb|kg}},{{convert|18|-|24|in|cm}},"Double coat with short- to medium-length, smooth or rough outer coat and short, soft, dense undercoat. Coat should be short and close.","Any color, color pattern, or combination of colors acceptable.",8-12 years.
522,Treeing Tennessee Brindle,"The Treeing Tennessee Brindle is a breed of cur. Since 1995, its records have been maintained through the American Kennel Club's Foundation Stock Service Program.",https://upload.wikimedia.org/wikipedia/commons/b/be/Sienna_TTBD.jpg,,,United States,{{convert|35|to|50|lb|kg|abbr|=|on}},{{convert|18|to|24|in|cm|abbr|=|on}},Short and soft,Brindle or black with brindle trim,
523,Treeing Walker Coonhound,"The Treeing Walker Coonhound is a breed of hound descended from the English and American Foxhounds. The breed originated in the United States when a dog known as ""Tennessee Lead,"" was crossed into the Walker Hound in the 19th century. The Treeing Walker Coonhound was recognized officially as a breed by the United Kennel Club in 1945 and by the American Kennel Club in 2012.
The Treeing Walker Coonhound was bred primarily to hunt raccoons, but it is also used on other game such as deer, bear or mountain lion. The breed is vocal with a distinctive bay that allows its owner to identify their hound from great distances. It has a clear, ringing voice that changes to steady chop at the tree. Walker hounds are gentle, calm, friendly dogs who make great house pets.",https://upload.wikimedia.org/wikipedia/commons/4/46/Treeing-walker-coonhound-standing.jpg,TWC,Walker,United States,in proportion to height,22 - 27 inches,Short and dense,"Tricolor, bicolor",
524,Trigg Hound,"The Trigg Hound (also known as the Trigg Foxhound or Hayden Trigg Hound) is a variety of the American Foxhound, developed in Kentucky by Colonel Haiden Trigg.

",https://upload.wikimedia.org/wikipedia/en/c/c2/Ned_%28Trigg%29.png,Trigg Foxhound<br />Hayden Trigg Hound,,United States,{{convert|45|–|55|lb|kg|abbr|=|on}},{{convert|23|–|24|in|cm|abbr|=|on}},"Short, smooth",Any,
525,Turnspit dog,"The Turnspit dog was a short-legged, long-bodied dog bred to run on a wheel, called a turnspit or dog wheel, to turn meat. The type is now extinct. It is mentioned in Of English Dogs in 1576 under the name ""Turnespete"". William Bingley's Memoirs of British Quadrupeds (1809) also talks of a dog employed to help chefs and cooks. It is also known as the Kitchen Dog, the Cooking Dog, the Underdog and the Vernepator. In Linnaeus's 18th-century classification of dogs it is listed as Canis vertigus. The breed was lost, since it was considered to be such a lowly and common dog that no record was effectively kept of it. Some sources consider the Turnspit dog a kind of Glen of Imaal Terrier, others make it a relative of the Welsh Corgi.",https://upload.wikimedia.org/wikipedia/commons/5/5c/Turnspitdog-1862.jpg,,,United Kingdom,,,,,
526,Tweed Water Spaniel,"The Tweed Water Spaniel, or Tweed Spaniel, is a breed of dog extinct since the 19th century. It is best known for being involved in the early development of the modern Curly Coated Retriever and Golden Retriever breeds of dogs. They were described as generally brown, athletic dogs from the area around Berwick-upon-Tweed near the River Tweed and close to the Scottish Borders. A type of water dog, the breed was not well known outside the local area. This breed may have been created by crossing local water dogs with imported St. John's water dog, another breed which is also now extinct.",https://upload.wikimedia.org/wikipedia/commons/9/98/Tweed_Water_Spaniel.jpg,Tweed Spaniel<br>Ladykirk Spaniel,,[[England]],,,,,
527,Tyrolean Hound,"The Tyrolean Hound is a breed of dog that originated in Tyrol also called the Tiroler Bracke or Tyroler Bracke. They are scent hounds that descended from the Celtic Hounds in the late 1800s, mainly for their hunting skills. They are hardworking, passionate, and independent dogs not known for their size, but rather their intelligence. For that reason, hunters can regularly use these dogs to catch their prey, wounded or otherwise. Their ability to stretch over long distances, on rough hot or cold terrain for their prey is also another perk of keeping this dog by your side. Hunters do have to worry about injuries to their dog, however, along with the common injuries that these dogs obtain throughout their life, like hip dysplasia or ear infections. Barring any injuries, these dogs tend to live an energetic life for about 12-14 years, and tend to be an overall healthy and robust dog.",https://upload.wikimedia.org/wikipedia/commons/d/d0/Tiroler_Bracke.jpg,Tiroler Bracke<br>Tyroler Bracke,,[[Austria]],,,,,
528,Cimarrón Uruguayo,"The Cimarrón Uruguayo (Uruguayan Cimarron) is a breed of molosser type dog originating in Uruguay. The word cimarrón in Latin America is used to mean feral, referring to the breed's history.
Other names by which it is known in English are Cimarron, Cimarron Creole, Cimarron Dog, Maroon Dog, Cerro Largo Dog, Uruguayan Gaucho Dog, Perro Cimarron, possibly others. The breed is officially recognised in Uruguay and by the Fédération Cynologique Internationale with the name Cimarrón Uruguayo.",https://upload.wikimedia.org/wikipedia/commons/4/48/Boqueron_de_Quilligan.JPG,"Cimarron, Uruguayan Cimarron, Cimarron Creole, Maroon Dog, Cerro Largo Dog, Perro Cimarron, Cimarron Dog",,[[Uruguay]],,,,,
529,Vanjari Hound,"The Vanjari Hound (Malayalam: വഞ്ചാരി ഹൗണ്ട്) is a breed of dog found in India. It is a greyhound-type dog used by the nomadic Vanjari of Rajasthan. primarily as a sighthound in hunting. However, it has also been used as a guard dog and a herding dog. The breed is currently at risk from interbreeding with other dog breeds and due to various others reasons like its purpose of hunting as its completely ban in India. Vanjari is also called aseel by nomads. My self has travelled in rajasthan once I came to know that this breed is exists in Rajasthan with nomads in year 2017 with A member of Rajput family.
Vanjari has almost hairless body. They mostly found in Uniform color. Mostly are of Mouse grey or black , fawn etc. They are very alert in nature.",https://upload.wikimedia.org/wikipedia/commons/2/21/Banjara_from_1915.JPG,"Vanjāri Hound, Banjāri Hound, Banjāri Greyhound, Vanchāri Hound, Wanjāri Hound",,[[India]],,,,,
530,Villano de las Encartaciones,"The Villano de Las Encartaciones (Basque: Enkarterriko billano, Cantabrian: Villanu, English: Butcher's dog of Las Encartaciones) is a Spanish working dog originated in Las Encartaciones, a comarca of the province of Biscay, in the Basque country, eastern Cantabria and northern Burgos. There are less than 100 of them in existence. The Villano derived from the Spanish Bulldog, of which it represents a lighter, faster and more agile version. The dog is used to catch Monchina cattle, which are raised in a feral state in northern Spain. The Villano is also used for boar hunting given its qualities as a catch dog. Males stand 60 to 65 cm at the shoulder and weigh up to 35 kg.",https://upload.wikimedia.org/wikipedia/commons/b/b3/Billano_arra1.JPG,"{{flat list|
*Villano dog
*Basque butcher's dog
*Basque landrace dog
*Basque dogo
*Basque catch dog
*Basque cattle dog.}}","{{flat list|
*Cattle dog from Las Encartaciones
*Las Encartaciones cattle dog
*Basque cattle dog
*Basque cattle landrace dog.}}",[[Spain]]<br>[[Basque Country (autonomous community)|Basque Country]],,,,,
531,Villanuco de Las Encartaciones,"The Villanuco de Las Encartaciones (Basque: Enkarterriko billanuko, Cantabrian: Villanucu, English: Little Villein of Las Encartaciones) is a Spanish breed of dog typical of the region of Las Encartaciones (Biscay), Cantabria and northern Burgos (Spain).
Despite the great similarity in names, the Villano de Las Encartaciones is a different breed, but shares in common the area of origin.
It is a ratter, used as a ""door dog"" for its speed advising the arrival of strangers. The census estimated that there is about 50 dogs with what is in a critical state of conservation, although its small size and character are prized as pets.",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,Villanuco de Las Encartaciones<br />Basque rat hunting dog <br /> Ratonero vasco,,[[Basque Country (autonomous community)|Basque Country]] ([[Spain]]),,,,,
532,Vizsla,"The Vizsla (Hungarian: [ˈviʒlɒ]) is a dog breed originating in Hungary which belongs under the FCI group 7 (Pointer group). The Hungarian or Magyar Vizsla are sporting dogs and loyal companions, in addition to being the smallest of the all-round pointer-retriever breeds. The Vizsla's medium size is one of the breed's most appealing characteristics as a hunter of fowl and upland game and, through the centuries, the Vizsla has held a rare position among sporting dogs – that of household companion and family dog.
The Vizsla is a natural hunter endowed with an excellent nose and an outstanding trainability. It was bred to work in fields, forests, or bodies of water. Although they are lively, gentle-mannered, demonstrably affectionate and sensitive, they are also fearless and possess a well-developed protective instinct.

",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,Hungarian Vizsla<br />Hungarian Pointer<br />Magyar Vizsla,,[[Hungary]],{{convert|45|-|66|lb|kg|abbr|=|on}},{{convert|22|-|25|in|cm|abbr|=|on}},,,
